Cidade;Cursos;Disputa;Nota;Sigla
Rio Grande do Sul, Brasil;Ciências Econômicas;Ampla concor.;642,76;FURG
Rio Grande do Sul, Brasil;Ciências Econômicas;Cota racial;564,32;FURG
Rio Grande do Sul, Brasil;Ciências Econômicas;Cota racial 1,5 salário mínimo;563,98;FURG
Rio Grande do Sul, Brasil;Ciências Econômicas;Esc. Pública 1,5 salário mínimo;582,01;FURG
Rio Grande do Sul, Brasil;Ciências Econômicas;Escola Pública;610,4;FURG
Rio Grande do Sul, Brasil;Direito;Ampla concor.;730,25;FURG
Rio Grande do Sul, Brasil;Direito;Ampla concor.;729,53;FURG
Rio Grande do Sul, Brasil;Direito;Cota racial;683,02;FURG
Rio Grande do Sul, Brasil;Direito;Cota racial;672,75;FURG
Rio Grande do Sul, Brasil;Direito;Cota racial 1,5 salário mínimo;689,47;FURG
Rio Grande do Sul, Brasil;Direito;Cota racial 1,5 salário mínimo;673,32;FURG
Rio Grande do Sul, Brasil;Direito;Esc. Pública 1,5 salário mínimo;693,1;FURG
Rio Grande do Sul, Brasil;Direito;Esc. Pública 1,5 salário mínimo;686,59;FURG
Rio Grande do Sul, Brasil;Direito;Escola Pública;720,74;FURG
Rio Grande do Sul, Brasil;Direito;Escola Pública;713,89;FURG
Rio Grande do Sul, Brasil;Direito;PNE + Pronaf;692,12;FURG
Rio Grande do Sul, Brasil;Direito;PNE + Pronaf;655,31;FURG
Rio Grande do Sul, Brasil;Direito;PNE 1,5 salário mínimo;591,04;FURG
Rio Grande do Sul, Brasil;Direito;PNE 1,5 salário mínimo;555,67;FURG
Rio Grande do Sul, Brasil;Direito;PNE Esc. Pública;626,32;FURG
Rio Grande do Sul, Brasil;Direito;PNE Esc. Pública;566,36;FURG
Rio Grande do Sul, Brasil;Educação Física;Ampla concor.;623,41;FURG
Rio Grande do Sul, Brasil;Educação Física;Cota racial;529,74;FURG
Rio Grande do Sul, Brasil;Educação Física;Cota racial 1,5 salário mínimo;569,96;FURG
Rio Grande do Sul, Brasil;Educação Física;Esc. Pública 1,5 salário mínimo;593,36;FURG
Rio Grande do Sul, Brasil;Educação Física;Escola Pública;621,23;FURG
Rio Grande do Sul, Brasil;Enfermagem;Ampla concor.;706,04;FURG
Rio Grande do Sul, Brasil;Enfermagem;Cota racial;688,83;FURG
Rio Grande do Sul, Brasil;Enfermagem;Cota racial 1,5 salário mínimo;699,85;FURG
Rio Grande do Sul, Brasil;Enfermagem;Esc. Pública 1,5 salário mínimo;670,5;FURG
Rio Grande do Sul, Brasil;Enfermagem;Escola Pública;689,46;FURG
Rio Grande do Sul, Brasil;Enfermagem;PNE + Pronaf;676,64;FURG
Rio Grande do Sul, Brasil;Enfermagem;PNE 1,5 salário mínimo;553,37;FURG
Rio Grande do Sul, Brasil;Eng Bioquímica;Ampla concor.;659,3;FURG
Rio Grande do Sul, Brasil;Eng Bioquímica;Cota racial;634,59;FURG
Rio Grande do Sul, Brasil;Eng Bioquímica;Cota racial 1,5 salário mínimo;593,66;FURG
Rio Grande do Sul, Brasil;Eng Bioquímica;Esc. Pública 1,5 salário mínimo;620,17;FURG
Rio Grande do Sul, Brasil;Eng Bioquímica;Escola Pública;627,24;FURG
Rio Grande do Sul, Brasil;Eng Bioquímica;PNE Esc. Pública;495,32;FURG
Rio Grande do Sul, Brasil;Eng Civ Empresarial;Ampla concor.;609,25;FURG
Rio Grande do Sul, Brasil;Eng Civ Empresarial;Cota racial;567,82;FURG
Rio Grande do Sul, Brasil;Eng Civ Empresarial;Cota racial 1,5 salário mínimo;565,93;FURG
Rio Grande do Sul, Brasil;Eng Civ Empresarial;Esc. Pública 1,5 salário mínimo;579,73;FURG
Rio Grande do Sul, Brasil;Eng Civ Empresarial;Escola Pública;581,98;FURG
Rio Grande do Sul, Brasil;Eng Civ Empresarial;PNE + Pronaf;495,13;FURG
Rio Grande do Sul, Brasil;Eng Civ Empresarial;PNE Esc. Pública;597,07;FURG
Rio Grande do Sul, Brasil;Eng Computação;Ampla concor.;654,08;FURG
Rio Grande do Sul, Brasil;Eng Computação;Cota racial;614,71;FURG
Rio Grande do Sul, Brasil;Eng Computação;Cota racial 1,5 salário mínimo;562,3;FURG
Rio Grande do Sul, Brasil;Eng Computação;Esc. Pública 1,5 salário mínimo;611,76;FURG
Rio Grande do Sul, Brasil;Eng Computação;Escola Pública;664,42;FURG
Rio Grande do Sul, Brasil;Eng Cv Costeira Port;Ampla concor.;617,96;FURG
Rio Grande do Sul, Brasil;Eng Cv Costeira Port;Cota racial;572,79;FURG
Rio Grande do Sul, Brasil;Eng Cv Costeira Port;Cota racial 1,5 salário mínimo;534,29;FURG
Rio Grande do Sul, Brasil;Eng Cv Costeira Port;Esc. Pública 1,5 salário mínimo;589,86;FURG
Rio Grande do Sul, Brasil;Eng Cv Costeira Port;Escola Pública;590,09;FURG
Rio Grande do Sul, Brasil;Eng de Alimentos;Ampla concor.;576,59;FURG
Rio Grande do Sul, Brasil;Eng de Alimentos;Cota racial;536,76;FURG
Rio Grande do Sul, Brasil;Eng de Alimentos;Cota racial 1,5 salário mínimo;532,62;FURG
Rio Grande do Sul, Brasil;Eng de Alimentos;Esc. Pública 1,5 salário mínimo;562,16;FURG
Rio Grande do Sul, Brasil;Eng de Alimentos;Escola Pública;554,13;FURG
Rio Grande do Sul, Brasil;Eng de Alimentos;PNE + Pronaf;496,51;FURG
Rio Grande do Sul, Brasil;Eng de Automação;Ampla concor.;640,45;FURG
Rio Grande do Sul, Brasil;Eng de Automação;Cota racial;601,89;FURG
Rio Grande do Sul, Brasil;Eng de Automação;Cota racial 1,5 salário mínimo;626,51;FURG
Rio Grande do Sul, Brasil;Eng de Automação;Esc. Pública 1,5 salário mínimo;583,26;FURG
Rio Grande do Sul, Brasil;Eng de Automação;Escola Pública;618,58;FURG
Rio Grande do Sul, Brasil;Eng de Automação;PNE Esc. Pública;492,45;FURG
Rio Grande do Sul, Brasil;Eng Mec Empresarial;Ampla concor.;587,98;FURG
Rio Grande do Sul, Brasil;Eng Mec Empresarial;Cota racial;556,64;FURG
Rio Grande do Sul, Brasil;Eng Mec Empresarial;Cota racial 1,5 salário mínimo;563,24;FURG
Rio Grande do Sul, Brasil;Eng Mec Empresarial;Esc. Pública 1,5 salário mínimo;565,36;FURG
Rio Grande do Sul, Brasil;Eng Mec Empresarial;Escola Pública;577,93;FURG
Rio Grande do Sul, Brasil;Eng Mec Empresarial;PNE + Pronaf;526,58;FURG
Rio Grande do Sul, Brasil;Eng Mec Naval;Ampla concor.;660,45;FURG
Rio Grande do Sul, Brasil;Eng Mec Naval;Cota racial;640,11;FURG
Rio Grande do Sul, Brasil;Eng Mec Naval;Cota racial 1,5 salário mínimo;609,75;FURG
Rio Grande do Sul, Brasil;Eng Mec Naval;Esc. Pública 1,5 salário mínimo;621,89;FURG
Rio Grande do Sul, Brasil;Eng Mec Naval;Escola Pública;641,16;FURG
Rio Grande do Sul, Brasil;Eng Mec Naval;PNE + Pronaf;639,51;FURG
Rio Grande do Sul, Brasil;Eng Química;Ampla concor.;652,53;FURG
Rio Grande do Sul, Brasil;Eng Química;Cota racial;524,18;FURG
Rio Grande do Sul, Brasil;Eng Química;Cota racial 1,5 salário mínimo;567,43;FURG
Rio Grande do Sul, Brasil;Eng Química;Esc. Pública 1,5 salário mínimo;577,4;FURG
Rio Grande do Sul, Brasil;Eng Química;Escola Pública;628,83;FURG
Rio Grande do Sul, Brasil;Engenharia Civil;Ampla concor.;646,56;FURG
Rio Grande do Sul, Brasil;Engenharia Civil;Cota racial;588,1;FURG
Rio Grande do Sul, Brasil;Engenharia Civil;Cota racial 1,5 salário mínimo;604,04;FURG
Rio Grande do Sul, Brasil;Engenharia Civil;Esc. Pública 1,5 salário mínimo;613,14;FURG
Rio Grande do Sul, Brasil;Engenharia Civil;Escola Pública;637,28;FURG
Rio Grande do Sul, Brasil;Engenharia Civil;PNE + Pronaf;449,08;FURG
Rio Grande do Sul, Brasil;Engenharia Civil;PNE 1,5 salário mínimo;516,93;FURG
Rio Grande do Sul, Brasil;Engenharia Mecânica;Ampla concor.;628,8;FURG
Rio Grande do Sul, Brasil;Engenharia Mecânica;Cota racial;583,37;FURG
Rio Grande do Sul, Brasil;Engenharia Mecânica;Cota racial 1,5 salário mínimo;547,49;FURG
Rio Grande do Sul, Brasil;Engenharia Mecânica;Esc. Pública 1,5 salário mínimo;579,34;FURG
Rio Grande do Sul, Brasil;Engenharia Mecânica;Escola Pública;608,75;FURG
Rio Grande do Sul, Brasil;Engenharia Mecânica;PNE Esc. Pública;421,57;FURG
Rio Grande do Sul, Brasil;Física;Ampla concor.;545,15;FURG
Rio Grande do Sul, Brasil;Física;Ampla concor.;460,8;FURG
Rio Grande do Sul, Brasil;Física;Cota racial;405,94;FURG
Rio Grande do Sul, Brasil;Física;Cota racial 1,5 salário mínimo;482,48;FURG
Rio Grande do Sul, Brasil;Física;Cota racial 1,5 salário mínimo;441,33;FURG
Rio Grande do Sul, Brasil;Física;Esc. Pública 1,5 salário mínimo;495,9;FURG
Rio Grande do Sul, Brasil;Física;Esc. Pública 1,5 salário mínimo;476,9;FURG
Rio Grande do Sul, Brasil;Física;Escola Pública;498,32;FURG
Rio Grande do Sul, Brasil;Física;Escola Pública;466,55;FURG
Rio Grande do Sul, Brasil;Física;PNE Esc. Pública;479,81;FURG
Rio Grande do Sul, Brasil;Geografia;Ampla concor.;539,16;FURG
Rio Grande do Sul, Brasil;Geografia;Ampla concor.;530,43;FURG
Rio Grande do Sul, Brasil;Geografia;Cota racial;534,2;FURG
Rio Grande do Sul, Brasil;Geografia;Cota racial;500,89;FURG
Rio Grande do Sul, Brasil;Geografia;Cota racial 1,5 salário mínimo;508,8;FURG
Rio Grande do Sul, Brasil;Geografia;Cota racial 1,5 salário mínimo;446,75;FURG
Rio Grande do Sul, Brasil;Geografia;Esc. Pública 1,5 salário mínimo;509,38;FURG
Rio Grande do Sul, Brasil;Geografia;Esc. Pública 1,5 salário mínimo;506,55;FURG
Rio Grande do Sul, Brasil;Geografia;Escola Pública;519,68;FURG
Rio Grande do Sul, Brasil;Geografia;Escola Pública;517,9;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;Ampla concor.;540,76;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;Cota racial;510,44;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;Cota racial 1,5 salário mínimo;512,76;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;Esc. Pública 1,5 salário mínimo;515,38;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;Escola Pública;523,56;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;PNE 1,5 salário mínimo;449,97;FURG
Rio Grande do Sul, Brasil;História;Ampla concor.;615,87;FURG
Rio Grande do Sul, Brasil;História;Ampla concor.;596,07;FURG
Rio Grande do Sul, Brasil;História;Cota racial;550,66;FURG
Rio Grande do Sul, Brasil;História;Cota racial;535,68;FURG
Rio Grande do Sul, Brasil;História;Cota racial 1,5 salário mínimo;560;FURG
Rio Grande do Sul, Brasil;História;Cota racial 1,5 salário mínimo;536,4;FURG
Rio Grande do Sul, Brasil;História;Esc. Pública 1,5 salário mínimo;603,43;FURG
Rio Grande do Sul, Brasil;História;Esc. Pública 1,5 salário mínimo;581,05;FURG
Rio Grande do Sul, Brasil;História;Escola Pública;578,2;FURG
Rio Grande do Sul, Brasil;História;Escola Pública;569,27;FURG
Rio Grande do Sul, Brasil;História;PNE 1,5 salário mínimo;655,11;FURG
Rio Grande do Sul, Brasil;História;PNE 1,5 salário mínimo;477,12;FURG
Rio Grande do Sul, Brasil;Letras Port e Inglês;Ampla concor.;614,01;FURG
Rio Grande do Sul, Brasil;Letras Port e Inglês;Cota racial;604,74;FURG
Rio Grande do Sul, Brasil;Letras Port e Inglês;Cota racial 1,5 salário mínimo;577,53;FURG
Rio Grande do Sul, Brasil;Letras Port e Inglês;Esc. Pública 1,5 salário mínimo;567,03;FURG
Rio Grande do Sul, Brasil;Letras Port e Inglês;Escola Pública;612,26;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;Ampla concor.;557,84;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;Ampla concor.;539,49;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;Cota racial;552,65;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;Cota racial;532,51;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;Cota racial 1,5 salário mínimo;528,32;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;Cota racial 1,5 salário mínimo;511,24;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;Esc. Pública 1,5 salário mínimo;528,39;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;Esc. Pública 1,5 salário mínimo;524,5;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;Escola Pública;550,23;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;Escola Pública;526,36;FURG
Rio Grande do Sul, Brasil;Letras Port Espanhol;PNE + Pronaf;527,04;FURG
Rio Grande do Sul, Brasil;Letras Port Francês;Ampla concor.;573,87;FURG
Rio Grande do Sul, Brasil;Letras Port Francês;Cota racial 1,5 salário mínimo;537,19;FURG
Rio Grande do Sul, Brasil;Letras Port Francês;Esc. Pública 1,5 salário mínimo;555,16;FURG
Rio Grande do Sul, Brasil;Letras Port Francês;Escola Pública;563,29;FURG
Rio Grande do Sul, Brasil;Letras Português;Ampla concor.;540,99;FURG
Rio Grande do Sul, Brasil;Letras Português;Cota racial;528,99;FURG
Rio Grande do Sul, Brasil;Letras Português;Cota racial 1,5 salário mínimo;537,04;FURG
Rio Grande do Sul, Brasil;Letras Português;Esc. Pública 1,5 salário mínimo;526,57;FURG
Rio Grande do Sul, Brasil;Letras Português;Escola Pública;535,27;FURG
Rio Grande do Sul, Brasil;Matemática;Ampla concor.;532,05;FURG
Rio Grande do Sul, Brasil;Matemática;Cota racial;514,26;FURG
Rio Grande do Sul, Brasil;Matemática;Cota racial 1,5 salário mínimo;465,94;FURG
Rio Grande do Sul, Brasil;Matemática;Esc. Pública 1,5 salário mínimo;511,14;FURG
Rio Grande do Sul, Brasil;Matemática;Escola Pública;533,45;FURG
Rio Grande do Sul, Brasil;Matemática Aplicada;Ampla concor.;514,83;FURG
Rio Grande do Sul, Brasil;Matemática Aplicada;Cota racial;487,71;FURG
Rio Grande do Sul, Brasil;Matemática Aplicada;Cota racial 1,5 salário mínimo;460,94;FURG
Rio Grande do Sul, Brasil;Matemática Aplicada;Esc. Pública 1,5 salário mínimo;476,88;FURG
Rio Grande do Sul, Brasil;Matemática Aplicada;Escola Pública;488,06;FURG
Rio Grande do Sul, Brasil;Matemática Aplicada;PNE 1,5 salário mínimo;546,08;FURG
Rio Grande do Sul, Brasil;Medicina;Ampla concor.;806,46;FURG
Rio Grande do Sul, Brasil;Medicina;Cota racial;764,75;FURG
Rio Grande do Sul, Brasil;Medicina;Cota racial 1,5 salário mínimo;760,07;FURG
Rio Grande do Sul, Brasil;Medicina;Esc. Pública 1,5 salário mínimo;779,35;FURG
Rio Grande do Sul, Brasil;Medicina;Escola Pública;797,12;FURG
Rio Grande do Sul, Brasil;Medicina;PNE + Pronaf;786,25;FURG
Rio Grande do Sul, Brasil;Medicina;PNE 1,5 salário mínimo;727,59;FURG
Rio Grande do Sul, Brasil;Medicina;PNE Esc. Pública;743,44;FURG
Rio Grande do Sul, Brasil;Oceanologia;Ampla concor.;638,56;FURG
Rio Grande do Sul, Brasil;Oceanologia;Cota racial;585,54;FURG
Rio Grande do Sul, Brasil;Oceanologia;Cota racial 1,5 salário mínimo;563,11;FURG
Rio Grande do Sul, Brasil;Oceanologia;Esc. Pública 1,5 salário mínimo;587,39;FURG
Rio Grande do Sul, Brasil;Oceanologia;Escola Pública;601,04;FURG
Rio Grande do Sul, Brasil;Oceanologia;PNE + Pronaf;595,73;FURG
Rio Grande do Sul, Brasil;Oceanologia;PNE Esc. Pública;462,52;FURG
Rio Grande do Sul, Brasil;Pedagogia;Ampla concor.;562,72;FURG
Rio Grande do Sul, Brasil;Pedagogia;Ampla concor.;562,56;FURG
Rio Grande do Sul, Brasil;Pedagogia;Cota racial;526,08;FURG
Rio Grande do Sul, Brasil;Pedagogia;Cota racial;483,95;FURG
Rio Grande do Sul, Brasil;Pedagogia;Cota racial 1,5 salário mínimo;547,88;FURG
Rio Grande do Sul, Brasil;Pedagogia;Cota racial 1,5 salário mínimo;522,46;FURG
Rio Grande do Sul, Brasil;Pedagogia;Esc. Pública 1,5 salário mínimo;542,41;FURG
Rio Grande do Sul, Brasil;Pedagogia;Esc. Pública 1,5 salário mínimo;535,59;FURG
Rio Grande do Sul, Brasil;Pedagogia;Escola Pública;557,2;FURG
Rio Grande do Sul, Brasil;Pedagogia;Escola Pública;536,2;FURG
Rio Grande do Sul, Brasil;Pedagogia;PNE + Pronaf;455,06;FURG
Rio Grande do Sul, Brasil;Pedagogia;PNE Esc. Pública;429,35;FURG
Rio Grande do Sul, Brasil;Psicologia;Ampla concor.;723,88;FURG
Rio Grande do Sul, Brasil;Psicologia;Cota racial;678,41;FURG
Rio Grande do Sul, Brasil;Psicologia;Cota racial 1,5 salário mínimo;656,78;FURG
Rio Grande do Sul, Brasil;Psicologia;Esc. Pública 1,5 salário mínimo;700,65;FURG
Rio Grande do Sul, Brasil;Psicologia;Escola Pública;713,64;FURG
Rio Grande do Sul, Brasil;Psicologia;PNE + Pronaf;663,69;FURG
Rio Grande do Sul, Brasil;Psicologia;PNE 1,5 salário mínimo;624,99;FURG
Rio Grande do Sul, Brasil;Psicologia;PNE Esc. Pública;632;FURG
Rio Grande do Sul, Brasil;Química;Ampla concor.;584,01;FURG
Rio Grande do Sul, Brasil;Química;Ampla concor.;514,03;FURG
Rio Grande do Sul, Brasil;Química;Cota racial;520,96;FURG
Rio Grande do Sul, Brasil;Química;Cota racial;474,78;FURG
Rio Grande do Sul, Brasil;Química;Cota racial 1,5 salário mínimo;514,14;FURG
Rio Grande do Sul, Brasil;Química;Cota racial 1,5 salário mínimo;493,88;FURG
Rio Grande do Sul, Brasil;Química;Esc. Pública 1,5 salário mínimo;551,63;FURG
Rio Grande do Sul, Brasil;Química;Esc. Pública 1,5 salário mínimo;490,96;FURG
Rio Grande do Sul, Brasil;Química;Escola Pública;554,52;FURG
Rio Grande do Sul, Brasil;Química;Escola Pública;476,86;FURG
Rio Grande do Sul, Brasil;Sist de Informação;Ampla concor.;635,61;FURG
Rio Grande do Sul, Brasil;Sist de Informação;Cota racial;552,16;FURG
Rio Grande do Sul, Brasil;Sist de Informação;Cota racial 1,5 salário mínimo;541,68;FURG
Rio Grande do Sul, Brasil;Sist de Informação;Esc. Pública 1,5 salário mínimo;611,71;FURG
Rio Grande do Sul, Brasil;Sist de Informação;Escola Pública;635,25;FURG
Rio Grande do Sul, Brasil;Sist de Informação;PNE + Pronaf;442,77;FURG
Rio Grande do Sul, Brasil;Toxicologia Ambiental;Ampla concor.;558,86;FURG
Rio Grande do Sul, Brasil;Toxicologia Ambiental;Cota racial;513,99;FURG
Rio Grande do Sul, Brasil;Toxicologia Ambiental;Cota racial 1,5 salário mínimo;537,07;FURG
Rio Grande do Sul, Brasil;Toxicologia Ambiental;Esc. Pública 1,5 salário mínimo;531,87;FURG
Rio Grande do Sul, Brasil;Toxicologia Ambiental;Escola Pública;512,53;FURG
Rio Grande do Sul, Brasil;AgroEcologia;Ampla concor.;525,56;FURG
Rio Grande do Sul, Brasil;AgroEcologia;Cota racial;463,04;FURG
Rio Grande do Sul, Brasil;AgroEcologia;Cota racial 1,5 salário mínimo;514,24;FURG
Rio Grande do Sul, Brasil;AgroEcologia;Esc. Pública 1,5 salário mínimo;486,46;FURG
Rio Grande do Sul, Brasil;AgroEcologia;Escola Pública;511,25;FURG
Rio Grande do Sul, Brasil;AgroEcologia;PNE 1,5 salário mínimo;448,26;FURG
Rio Grande do Sul, Brasil;Educação do Campo;Ampla concor.;521,72;FURG
Rio Grande do Sul, Brasil;Educação do Campo;Cota racial 1,5 salário mínimo;425,59;FURG
Rio Grande do Sul, Brasil;Educação do Campo;Esc. Pública 1,5 salário mínimo;494,06;FURG
Rio Grande do Sul, Brasil;Educação do Campo;Escola Pública;517,27;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;Ampla concor.;506,43;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;Cota racial;531,09;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;Cota racial 1,5 salário mínimo;432,84;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;Esc. Pública 1,5 salário mínimo;471,19;FURG
Rio Grande do Sul, Brasil;Gestão Ambiental;Escola Pública;421,96;FURG
Rio Grande do Sul, Brasil;Gst de Cooperativas;Ampla concor.;485,18;FURG
Rio Grande do Sul, Brasil;Gst de Cooperativas;Cota racial;450,65;FURG
Rio Grande do Sul, Brasil;Gst de Cooperativas;Cota racial 1,5 salário mínimo;502,98;FURG
Rio Grande do Sul, Brasil;Gst de Cooperativas;Esc. Pública 1,5 salário mínimo;452,7;FURG
Rio Grande do Sul, Brasil;Gst de Cooperativas;Escola Pública;499,63;FURG
Rio Grande do Sul, Brasil;Letras Português;Ampla concor.;506,57;FURG
Rio Grande do Sul, Brasil;Letras Português;Cota racial 1,5 salário mínimo;487;FURG
Rio Grande do Sul, Brasil;Letras Português;Esc. Pública 1,5 salário mínimo;499,93;FURG
Rio Grande do Sul, Brasil;Letras Português;Escola Pública;485,38;FURG
Rio Grande do Sul, Brasil;Comércio Exterior;Ampla concor.;642,28;FURG
Rio Grande do Sul, Brasil;Comércio Exterior;Cota racial;588,45;FURG
Rio Grande do Sul, Brasil;Comércio Exterior;Cota racial 1,5 salário mínimo;575,95;FURG
Rio Grande do Sul, Brasil;Comércio Exterior;Esc. Pública 1,5 salário mínimo;597,38;FURG
Rio Grande do Sul, Brasil;Comércio Exterior;Escola Pública;602,3;FURG
Rio Grande do Sul, Brasil;Comércio Exterior;PNE + Pronaf;563,98;FURG
Rio Grande do Sul, Brasil;Comércio Exterior;PNE Esc. Pública;565,74;FURG
Rio Grande do Sul, Brasil;Eventos;Ampla concor.;530,91;FURG
Rio Grande do Sul, Brasil;Eventos;Cota racial;498,42;FURG
Rio Grande do Sul, Brasil;Eventos;Cota racial 1,5 salário mínimo;561,75;FURG
Rio Grande do Sul, Brasil;Eventos;Esc. Pública 1,5 salário mínimo;490,11;FURG
Rio Grande do Sul, Brasil;Eventos;Escola Pública;518,08;FURG
Rio Grande do Sul, Brasil;Eventos;PNE + Pronaf;531,57;FURG
Rio Grande do Sul, Brasil;Hotelaria;Ampla concor.;517,93;FURG
Rio Grande do Sul, Brasil;Hotelaria;Cota racial;456,66;FURG
Rio Grande do Sul, Brasil;Hotelaria;Cota racial 1,5 salário mínimo;506,27;FURG
Rio Grande do Sul, Brasil;Hotelaria;Esc. Pública 1,5 salário mínimo;450,58;FURG
Rio Grande do Sul, Brasil;Hotelaria;Escola Pública;453,68;FURG
